model,accuracy,f1_macro,roc_auc,dataset,parity_gap
decision_tree,0.9122807017543859,0.9074675324675325,0.9156746031746031,breast_cancer,0.0
decision_stump,0.9210526315789473,0.9138321995464853,0.9077380952380952,breast_cancer,0.0
sklearn_tree,0.9122807017543859,0.9074675324675325,0.9156746031746031,breast_cancer,0.0
decision_tree,0.795,0.728467830060598,0.7316017316017316,adult,0.0024999999999999467
decision_stump,0.7525,0.42938659058487877,0.7574638969987807,adult,0.0024999999999999467
sklearn_tree,0.7975,0.732653414857539,0.7366522366522367,adult,0.0024999999999999467
decision_tree,0.7075,0.597784181869094,0.7638066533701068,covertype,0.0008333333333333526
decision_stump,0.6383333333333333,0.1966955170174486,0.7274958452647173,covertype,0.0008333333333333526
sklearn_tree,0.7066666666666667,0.5545357835439731,0.7451803083965557,covertype,0.0008333333333333526
decision_tree_balanced,0.6858333333333333,0.58078958685848,0.7576574207140744,covertype,0.0008333333333333526
decision_tree,0.9616666666666667,0.9616393880092511,0.9615679647808251,mnist_38,0.004166666666666652
decision_stump,0.8641666666666666,0.8640230410037268,0.863878667274405,mnist_38,0.004166666666666652
sklearn_tree,0.9575,0.9574595570372111,0.9573017531767295,mnist_38,0.004166666666666652
