dataset,noise,adaboost_accuracy,random_forest_accuracy
breast_cancer,0.0,0.956140350877193,0.956140350877193
breast_cancer,0.05,0.9385964912280702,0.9473684210526315
breast_cancer,0.1,0.9649122807017544,0.9385964912280702
breast_cancer,0.2,0.8947368421052632,0.9210526315789473
adult,0.0,0.8508333333333333,0.845
adult,0.05,0.8475,0.845
adult,0.1,0.8483333333333334,0.8441666666666666
adult,0.2,0.8433333333333334,0.845
covertype,0.0,0.6141666666666666,0.7616666666666667
covertype,0.05,0.6633333333333333,0.75
covertype,0.1,0.6641666666666667,0.7458333333333333
covertype,0.2,0.6833333333333333,0.7225
mnist_38,0.0,0.9516666666666667,0.985
mnist_38,0.05,0.9408333333333333,0.9816666666666667
mnist_38,0.1,0.9283333333333333,0.9775
mnist_38,0.2,0.9116666666666666,0.9741666666666666
